MeasurementID	OccurrenceID	MeasurementOfTaxon	AssociationID	ParentMeasurementID	MeasurementType	MeasurementValue	Unit	Accuracy	StatisticalMethod	DeterminedDate	DeterminedBy	MeasurementMethod	Remarks	Source	Citation	Contributor	ReferenceID
1	1	yes			"snout to vent length - male"	23.9	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
2	1	yes			"snout to vent length - female"	35.3	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
3	10	yes			"snout to vent length - male"	25.2	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
4	11	yes			"snout to vent length - male"	32.5	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
5	11	yes			"snout to vent length - male"	49	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001109.rdf								
6	2	yes			"snout to vent length - male"	18.3	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
7	2	yes			"snout to vent length - female"	26.1	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
8	3	yes			"snout to vent length - male"	1000	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001113.rdf								
9	3	yes			"snout to vent length - male"	3000	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
10	4	yes			"snout to vent length - male"	19.3	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001113.rdf								
11	4	yes			"snout to vent length - male"	19.3	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
12	5	yes			"snout to vent length - male"	35	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
13	5	yes			"snout to vent length - male"	25.5	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001109.rdf								
14	6	yes			"snout to vent length - male"	37	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
15	6	yes			"snout to vent length - male"	33.5	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001109.rdf								
16	7	yes			"snout to vent length - male"	22.9	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
17	7	yes			"snout to vent length - male"	20.5	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001109.rdf								
18	8	yes			"snout to vent length - male"	45	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
19	8	yes			"snout to vent length - male"	70	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001109.rdf								
20	9	yes			"snout to vent length - male"	21.5	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
21	1	yes			"snout to vent length - male"	4	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001113.rdf								
22	1	yes			"snout to vent length - male"	12	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
23	1	yes			"colouration: pattern"	stripes											
24	1	yes			"colouration: colour"	aposematic											
25	1	yes			"colouration: warty"	none											
26	1	yes			"colouration: uni vs. polymorph"	polymorph											
27	1	yes			"colouration: sex colour dimorphism"	NY											
28	2	yes			"colouration: pattern"	points											
29	2	yes			"colouration: colour"	aposematic											
30	2	yes			"colouration: warty"	none											
31	2	yes			"colouration: uni vs. polymorph"	few											
32	2	yes			"colouration: sex colour dimorphism"	NY											
33	1	yes			forelimb_length	1	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001113.rdf								
34	1	yes			forelimb_length	5	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
35	1	yes			forelimb_length	2	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001109.rdf								
36	1	yes			humerus_length	1	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001113.rdf								
37	1	yes			humerus_length	5	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
38	1	yes			humerus_length	3	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001109.rdf								
39	1	yes			hand_length	2	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001113.rdf								
40	1	yes			hand_length	5	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
41	1	yes			hand_length	3	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001109.rdf								
42	1	yes			first_finger_length	4	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001113.rdf								
43	1	yes			first_finger_length	6	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001114.rdf								
44	1	yes			first_finger_length	3	http://purl.obolibrary.org/obo/UO_0000016		http://semanticscience.org/resource/SIO_001109.rdf								
45	1	yes			second_finger_length	1	http://purl.obolibrary.org/obo/UO_0000016										
