OccurrenceID	TaxonID	Sex	LifeStage	Reproductive	Behaviour	Establishment	Remarks	CountOfIndividuals	Preparations	FieldNotes	SamplingProtocol	SamplingEffort	DecimalLatitude	DecimalLongitude	Locality	IdentifiedBy	DateIdentified	EventDate	EventID
1	1														Africa				
10	10														"South east Asia"				
11	11														Africa				
2	2														America				
3	3														Europe				
4	4														"North America"				
5	5														"North America"				
6	6														"South east Asia"				
7	7														"South America"				
8	8														"South America"				
9	9														Madagascar				
