id,daily_activity,reproductive_mode,tadpole_habitat,tadpole_feeding,maternal_care,maternal_care_details,abundance,stratigraphic_range,f_environment_type,diet,climate,holotype
1,night,exotrophic tadpoles,Lentic,Suctorial,no,,frequent,1,,insectivor,,whole individual
10,night,,,,,,,,,,,
11,night,,,,,,,,,,,
2,night,ovoviviparous,Lotic,suspension feeder,no,,rare,1,,insectivor,,whole individual
3,,,,,,,frequent,34,floodplain,carnivore,,skull
4,,,,,,,rare,1,floodplain,,,articulated skeleton
5,,,,,,,,,,,,whole individual
6,,,,,,,,,,,,whole individual
7,day,,,,,,,,,,,whole individual
8,night,,,,,,,,,,,
9,day,,,,,,,,,,,
