id;vocal_sac_manifestation;vocal_sac_form;vocal_sac_distensibility;tympanum_covering;tympanum_eye_ration
A20;exterl;paired_subgular;weak;absent;1.1
A21;present;paired_lateral;strong;present;1.1
A22;;;;;
A23;;;;;
A24;exterl;"single subgular";strong;concealed;0.5
A25;interl;"single subgular";weak;visible;0.47
A26;;"single subgular";;"partly concealed";0.42
A27;interl;"single subgular";;concealed;
A28;;"single subgular";;visible;0.4
A29;;"single subgular";;visible;0.37
A30;exterl;"single subgular";strong;concealed;0.6
